Location,Population,HighestInfectionCount,PercentPopulationInfected
Dominican Republic,11228821.0,661045.0,5.89
Iraq,44496124.0,2465545.0,5.54
Jamaica,2827382.0,154786.0,5.47
Honduras,10432858.0,472533.0,4.53
Kiribati,131237.0,5025.0,3.83
Vanuatu,326744.0,12016.0,3.68
Philippines,115559008.0,4092158.0,3.54
Morocco,37457976.0,1273463.0,3.4
Solomon Islands,724272.0,24575.0,3.39
Nepal,30547586.0,1003004.0,3.28
Vatican,808.0,26.0,3.22
El Salvador,6336393.0,201785.0,3.18
India,1417173120.0,44952996.0,3.17
Kyrgyzstan,6630621.0,206888.0,3.12
Sri Lanka,21832150.0,672177.0,3.08
Laos,7529477.0,218077.0,2.9
Sao Tome and Principe,227393.0,6562.0,2.89
Lower middle income,3432097300.0,97402870.0,2.84
Indonesia,275501344.0,6776984.0,2.46
Saudi Arabia,36408824.0,840337.0,2.31
Gabon,2388997.0,48981.0,2.05
Venezuela,28301700.0,552578.0,1.95
Timor,1341298.0,23428.0,1.75
Zambia,20017670.0,343910.0,1.72
Zimbabwe,16320539.0,264685.0,1.62
Lesotho,2305826.0,34490.0,1.5
Djibouti,1120851.0,15690.0,1.4
Mauritania,4736146.0,63617.0,1.34
Bangladesh,171186368.0,2038250.0,1.19
Myanmar,54179312.0,635102.0,1.17
Comoros,836783.0,9109.0,1.09
Equatorial Guinea,1674916.0,17130.0,1.02
Rwanda,13776702.0,133194.0,0.97
Africa,1426736614.0,13081409.0,0.92
Cambodia,16767851.0,138733.0,0.83
Uzbekistan,34627648.0,253009.0,0.73
Mozambique,32969520.0,233417.0,0.71
Pakistan,235824864.0,1580631.0,0.67
Kenya,54027484.0,343060.0,0.63
Algeria,44903228.0,271719.0,0.61
Afghanistan,41128772.0,214880.0,0.52
Senegal,17316452.0,88997.0,0.51
Ghana,33475870.0,171653.0,0.51
Gambia,2705995.0,12626.0,0.47
Papua New Guinea,10142625.0,46842.0,0.46
Egypt,110990096.0,515970.0,0.46
Togo,8848700.0,39487.0,0.45
Cameroon,27914542.0,124983.0,0.45
Guinea-Bissau,2105580.0,9350.0,0.44
Malawi,20405318.0,88638.0,0.43
Congo,5970430.0,25192.0,0.42
Burundi,12889583.0,53740.0,0.42
Ethiopia,123379928.0,500837.0,0.41
Uganda,47249588.0,170602.0,0.36
Cote d'Ivoire,28160548.0,88325.0,0.31
Low income,737604900.0,2296595.0,0.31
Angola,35588996.0,105384.0,0.3
Haiti,11585003.0,34228.0,0.3
Central African Republic,5579148.0,15367.0,0.28
Eritrea,3684041.0,10189.0,0.28
Guinea,13859349.0,38462.0,0.28
Tokelau,1893.0,5.0,0.26
Syria,22125242.0,57423.0,0.26
Madagascar,29611718.0,68236.0,0.23
Nicaragua,6948395.0,15697.0,0.23
Benin,13352864.0,28014.0,0.21
Tajikistan,9952789.0,17786.0,0.18
South Sudan,10913172.0,18368.0,0.17
Somalia,17597508.0,27334.0,0.16
Liberia,5302690.0,8090.0,0.15
Mali,22593598.0,33144.0,0.15
Sudan,46874200.0,63993.0,0.14
Nigeria,218541216.0,266675.0,0.12
Burkina Faso,22673764.0,22056.0,0.1
Democratic Republic of Congo,99010216.0,96212.0,0.1
Sierra Leone,8605723.0,7762.0,0.09
Tanzania,65497752.0,42973.0,0.07
Chad,17723312.0,7820.0,0.04
Yemen,33696612.0,11945.0,0.04
Niger,26207982.0,9513.0,0.04
Western Sahara,576005.0,,
Macao,695180.0,,
Northern Ireland,1896000.0,,
Wales,3170000.0,,
Northern Cyprus,382836.0,,
Scotland,5466000.0,,
Turkmenistan,6430777.0,,
Taiwan,23893396.0,,
England,56550000.0,,
North Korea,26069416.0,,
Hong Kong,7488863.0,,
